label,fitur
1,kapal kargo pengangkut kadrun tenggelam laut china selatan kapal kargo indonesia tujuan china dilaporkan tenggelam laut china selatan sabtu malam akibat kebocoran lambung kapal kapal mengangkut kadrun tujuan china tujuan objek percobaan vaksin covid dimana harga monyet china mahal harga kadrun kali murah harga monyet penyelidikan otorita tiongkok kecelakaan fatal
1,foto gubernur ani makan sekumpulan orang jawa tulen sekumpulan orang jawa tulen menyantap kulin kha jawa nasi samin kebab buaya panggang minumannya fifi onta segar percakapan memakai bahasa jawa halu alia kromo inggil ana akhi antum afwan hmmm sungguh mengagumkan nb seng wani prote pki opo kow bong
1,mulan jameela undur dpr ri mundur terhormat pecat hayo monggo mengundurkan sanggup becu kerjanya
1,video fkppi bandung berkumpul mona siaga ruu hip syahkan dpr fkppi bandung berkumpul mona siaga ruu hip syahkan dpr revolusi jihad mati syahid hidup mulia bela negara ancaman komunism
1,pembantu positif corona penjaringan pembantu orang te positif corona
1,foto sudjiatmi disiksa alam barzakh sudjiatmi disiksa alam barzakh hj sudjiatmi presiden jokowi tersiksa alam kubur sadi brutal kejam ampunan disaat tgl april jenazah h sudjiatmi semayamkan alam kubur beranjak makamnya beliau presiden joko widodo
1,berdamai corona jokowi pemerintah kalah menyerah astaghfirullah kemarin lawan viru corona ayo berdamai dngn viru corona pemerintah kalah mengibarkan bendera putih tanda menyerah
1,penerima stiker pesan whatsapp dikenakan biaya tahukah teman ku group stiker menguntungkan pembuat nya stiker gambar yg saudaraku krmkan wa pembayarannya dibebankan kpd yg menerima rp
1,foto mahfud md mengaku ashraf nikahi bcl mengaku ashraf pria nikahi bcl
1,diculik umur anak kejadian d angkot lebak bulu parung ibunda si bayi dihipnoti diculik keponakan yulianah umur anak jeni kelamin perempuan kejadian d angkot lebak bulu parung ibunda si bayi dihipnoti d angkot diturunkan pondok cabe pelaku penculikan kejadian sabtu feb jam
1,viru corona apartemen taman anggrek dapet info client viru corona udah samp apart ta udah org wuhan yg kena tp manag tutup i mall bs beroperasi mrk ga rugi barusan bgt dpt info dr client yg suaminya org cina mrk komunita org cina indo mrk kasih tau utk jauhi apart ta
1,presiden cina xi jinp mengunjungi masjid umat islam berdoa negeri dilanda krisi presiden cina xi jinp mengunjungi masjid umat islam berdoa negara dilanda krisi membutuhkan bantuan
1,pesan berantai biaya tilang biaya tilang terbaru indonesia kapolri mantap stnk rp tdk bawa sim rp tdk pakai helm rp
1,video jokowi pucat sbi pelaku korupsi jokowi puc t sbi ungk p p l ku k rup jiwasraya diduga orang jokow heboh
1,all jakarta water park perkenalkan all jakarta water park
1,pergantian kartu keluarga warga dki jakarta dina dukcapil jakarta mewajibkan warga jakarta mengganti kk tenggat imbauan memutakhirkan data didorong pemerintah input data statu pernikahan golongan darah susunan anggota keluarga
1,usu ibunya dimakan bayi bayi bln dlm perut ibunya habi usu ibunya dimakan bayi dokter mengoprasi ibunya mengeluarkan bayi bayi gigit tangan perawat jam si perawat meningg bayi meningg bayi bayi lahir dgn berat kg jam bertambah beratnya kg bayi lahir jumat allah kasi peringatan bayi ni dibunuh dokter memberinya suntik mematikan kali bayi mati kisah india wallahu a lam
1,foto awan mengerikan jepang ngeri si semoga tmn yg disana selamat amin yrb prayforjapan
1,narasi presiden korea utara menghukum pejabatnya korupsi presiden korea utara menghukum pejabatnya terlibat korupsi dihadapan awak media cetak elektronik berrjalan bergandengan tangan plung dibawahnya kandang buaya luaaaar biasaaa
1,almarhum habibi formasi ja merah mob umm formasi merah putih kh ahmad dahlan logo umm student today leader tomorrow peta indonesia pray for lombok
1,petuga tewa tersetrum perbaikan listrik kecamatan pedurungan
1,tv negeri memberitakan prabowo the next presiden tv negeri memberitakan prabowo the next presiden
1,ketua kpu umroh bareng jokowi aneh menjelang h pemilu koq nya ketua kpu umroh bareng jokowi kpu kpln pelanggaran
1,tiket promo kereta api hut bumn jalan kereta yuuuuk hayo jalan tiket ka promo
1,simulasi orang gila bawa tp pemilu simulasi orang gila bawa tp pemilu dunia
1,broadcast whatsapp info test seleksi gtt ptt tabe keluargata yg guru sma info
1,puan maharani buka posko logistik reuni info alumni harap hindari posko mona posko milik puan maharani istiql sebarkan jama ah tau
1,penerbangan pesawat hercul grati palu keluarga korban gempa tsunami jadwal hercul malam jam subuh besok lanud makassar
1,capt pribadi pengemudi pesawat mengijinkan hj neno warisman capt pribadi pengemudi pesawat mengijinkan hj neno warisman sang dedengkot gerakan makar gantikhilafah sistem pengera suara pesawat
0,coach indra sjafri digaji ikhla kendati suks mengantarkan timna indonesia u juara piala aff u lolo putaran final piala asia u
1,alquran diklaim al quran palsu beredar alqur an palsu karang orang kafir
1,yel yel kecebong merencanakan menyusup cfd ane sebarin deh videonya nih liat yel yel kecebong yg merencanakan menyusup cfd menghancurkan hastag gantipresiden cc bangpino netizentofa zarazettirazr roninkhalid ndoro putri restycayah ardi riau allah pembala tipu daya
0,kronolog polisi berondong sedan terobo razia lubuklinggau innalillah lalai terobo razia mobil berisi keluarga ditembaki polisi orang tewa
0,kemristekdikti undang dosen ase profesor kela dunia dosen ase profesor kela dunia orang indonesia mengikuti program mengajar universita negeri koneksi peraih nobel direktur jender sumber daya iptek dikti kemristekdikti ali ghufron mukti jakarta selasa
1,kecam pernyataan said aqil neno warisman terima kecam pernyataan said aqil neno warisman terima pernyataan kontroversi ketua pbnu said aqil siradj nonton film porno dengarkan ceramah radik istighfar kecaman pegiat pendidikan anak neno warisman menuliskan kemarahannya tulisan
1,memerangi allah of kung fu nama hasil translat otomati googl game aslinya berjudul galaxi fight god of kung fu
1,permen susu mengandung narkoba assalamu alaikum informasi teman dokter anaknya bidan banyuma makan permen susu tru gk makan ngefli disarankan temen dokter purbalingga membawa permen tsb bnn hasilnya positif mengandung narkoba jeni benzodiazepin
1,konser ani sandi no menang telak konser gue menang telak
1,poster aksi damai bela islam mencantumkan nama foto gatot nurmantyo beredarnya poster aksi damai bela islam viral media sosial poster nama foto panglima tni jender gatot nurmantyo
0,surat c syarat hak pilih pilkada dki jakarta pengumuman pilkada dki pemilih wajib ambil surat c on feb dgn penguru rt samp feb surat c diambil langsung pemilik rt kembalikan kpu warga dki yg milik c memilih jam bawa e ktp suket kk asli pk suara hangu tlg sebarkan thank you
1,pernyataan danjen kopassu dukung fpi tni wara kecuali wereng coklat gitu yah sih sejarah buruk terulang serem bgt danjen kopassu fpi orma terbesar suka membantu memberanta kemahsiatan dibubarkan orma preman suka membekingi kemahsiatan suka bikin resah masyarakat
1,gambar salib barang bantuan bencana hati hati teliti menerima bentuk bantuan korban gempa gambar salib handuk bantuan yg edarkan
1,aksi penghargaan rekor dunia tersebar gambar piagam aksi penghargaan rekor dunia
1,foto petinggi kepolisian mengizinkan demo neo pki demo neo pki udah ijin buntelan kentut maaf ralat petinggi kepolisian tinggal tunggu gender perang ditabuh aja
1,tulisan teriakan pancasila mu dr abdul muti med teriakan pancasila mu dr abdul mu ti med sekum pp muhamadyah
1,petuga rapid test jarang mengganti sarung tangan tularkan covid pasien panjenengan terjebak oprasi rapid te dadakan ujug ujug petuga mengharuskan mengikuti rapid te diperhatikan sarung tangan petug sarung tangan dipakai dipakai ganti ganti dimana petuga pegang orang oasien rapid te ganti sarung tangan petuga memegang panjenengan letak rawannya penularan viru nya ngga tau petuga ngga tau orang dipegang orang positif reaktif negatif penularan ditempat rapid te massal
1,video dokter bule nih dokter bule ngomong ngasih data lengkap detail intinya covid aja nggak mematikan sembuh meningg penyakit dimasukkan daftar covid kirain sinih aja lockdown psbb menimbulkan dampak buruk diband covid
1,vietnam korban meningg covid teh lemon kabar gembira istimewa vietnam korban covid yng mati berita super obat viru covid tercapai informasi negara vietnam viru covid menyebabkan kematian resepnya sederhana ampuh teh lemon minumlah teh pana campur perasan lemon membunuh viru covid sepenuhnya menghilangkan viru covid tubuh bahan sistem kekebalan tubuh bersifat basa malam sistem tubuh asam kemampuan detensif berkurang orang vietnam santai menyebarnya viru covid vietnam orang minum segela air pana lemon malam terbukti membunuh viru covid total bagikan resep sakti memburu pahala resep sederhana efektif terinfeksi viru covid izin tuhan yme selamat mencoba
1,ratusan warga china menetap indonesia singapura viru corona ratusan warga china menetap indonesia pagi meninggalkan indonesia singapura situasi viru corona menyerang indonesia situasi indonesia normal
1,orang terinfeksi viru corona parepar orang terinfeksi viru corona parepar waspada ki main main
1,the simpson memprediksi corona viru china meremehkan the simpson the simpson corona viru china
1,membakar al quran jari tangan pria menghitam membusuk mengeluarkan bau menjijikan azab pedih menimpa warga negara amerika merobek robek membakar al qur an terkena penyakit misteri jari tangannya melepuh membusuk menghitam lukanya menimbulkan aroma sedap
1,marak lowongan kerja mengatasnamakan perusahaannya pt inalum masyarakat waspada manaj huma pt inalum bambang heru prayoga informasi sebutkan hoak penipuan harap masyarakat terkena penipuan rekrutmen nama inalum
1,cepat cek jantung air es batu kesehatan jantung te sederhana mendeteksi sehat jantung menjaga jantung berfungsi kehidupan sehat jangka
1,presiden jokowi melecehkan bendera merah putih coba dilhat melecehkan bendara indonesia tahan polda metro pegang bendara merah putih tangan mohon kekuatan hukum advokat pengacara tolong didampingin anak stm kasihan membelanya
1,suntingan video merri riana indonesia bubar viral indonesia bubar video merri riana asli tonton habi
1,berbau jawa jayapura hancur video jayapura bandara dikaw marinir dievakuasi yg berbau jawa hancur
0,bahaya dage kurban dibungku kresek hitam yusuf ridwan kantong plastik kresek berwarna hitam mengandung zat karsinogen zat pewarna tercampur dage akibat kontaminasi zat menyebabkan kanker yusuf ridwan kantong plastik kresek berwarna hitam mengandung zat karsinogen zat pewarna tercampur dage akibat kontaminasi zat menyebabkan kanker
1,am hendropriyono meningg singapura innalilahiwainalrajiun mati pembantai rakyat hendroprayono d singapor jgn d ucapi meningg karna pembantai manusia
0,penjelasan terkait video truk kontain bergambar jokowi maruf amin truk semi kontain paslon membawa
1,bahaya semut kutu jepang utk diabet info bahaya semut kutu jepang utk diabet sahabat sy magelang pengidap diabet kmd konsumsi semut kutu jepang yg mengobati diabet semut mengeluarkan insulin mengkonsumsi semut kutu jepang ususnya terkena bakteri rusak dipotong ususnya
1,cnn indonesia berita berjudul sertifikat ganda kerja rezim jokowi cnn indonesia sertifikat ganda kerja rezim jokowi novemb
1,paham politik gak sih aduh kelemahannya jokowi gak mudeng bikin kampret bodoh paham politik gak sih
1,judul berita prabowo mengaji dibutuhkan memimpin negara ah pokoknya prabowo laaah amin rai nyinyir yaaaa keh keh keh
0,universita muhammadiyah kupang bantah menginisasi gerakan gantipresiden terkait salah dosennya insiat gerakan gantipresiden kabupaten manggarai barat nusa tenggara timur ntt universita muhammadiyah kupang umk membantah kampusnya terlibat gerakan
0,pk gerindra purwakarta bantah pasang spanduk dinilai provokatif caleg partai gerindra pk menolak khilafah indonesia damai menolak khilafah wilayah purwakarta barisan muda muslim purwakarta
1,kalimantan barat memana menang songong kalah ngamuk
1,tersangka ujaran kebencian dosen usu himma dewiyana dibebaskan terima kasih bang romo syafi i ketua kahmi membantu membebaskan himma
1,dedi mulyadi menghamili siswi mt bupati purwakarta calon wakil gubernur jawa barat dedi mulyadi membantah informasi menghamili siswi mt dedi saksi nikah anak tokoh masyarakat sumedang hamil menghamilinya
1,tuduh curi medali milik bambang pamungka muhammad yusuf buka suara mantan ketua jakmania larico ranggamon ramai medali bepe hilang m yusuf medali palsu tantenya pssi beda medali tim persija
1,malam jam pagi mengelilingi kabah malam jam pagi mengelilingi ka bah langit berwarna biru muda sa at penerima an doa taubat munajat ribu malam berdo a diterima tawaaf ka bah tolong orang rabbi minkulli zambi wa atubu illiahi mengirim doa temanmu allah menyelesaikan masalahmu tolong kirimkan orang semoga bermanfaat aamiin
1,pendaftaran peserta uji nyali dunia tran pabrik mercon pendaftaran peserta acara uji nyali dunia televisi tran spookier pengen ikutan uji nyali langsung kirim data email data diisi nama umur alamat pekerjaan motivasi uji nyali no telp
1,kartu sim xl indosat smarfren telkomsel disadap badan intelijen as kemenkominfo badan regulasi telekomunikasi indonesia brti menerima laporan investigasi oper selul terkait dugaan penyadapan kartu sim buatan gemalto hutchinson xl axiata indosat telkomsel badan intelijen as nation secur agenc nsa govern commun headquart gchq
1,rombongan ani sandi ditilang miliki izin patwal puncak bogor rombongan ani sandi ditilang miliki izin patwal puncak bogor
1,foto john kei disunt bismillah team mualaf center darussalam diwakili harsha agousta brahma sadewa jender lisz dewi purnamawati berangkat lp batu nusakambangan cilacap niat john kei masuk islam memutuskan masuk islam john kei alia john refra pemuda tutrean pulau kei juluki godfath of jakarta
0,pengoperasionalan kereta bandara teman kunjungan jakarta agustu transportasi kereta api bandara soekarno hatta
0,tusuk gigi sebarkan hiv aid tusuk gigi sebarkan hiv aid
1,pelaku bom kampung melayu anggota polisi pelaku bom kampung melayu anggota polisi
1,pembubabaran pengajian ustad khalid basalamah banser nu pembubabaran pengajian ustad khalid basalamah banser nu
1,foto helikopt tank dunia buatan turki pakistan foto helikopt tank dunia buatan turki pakistan
1,es krim merek aic bosnya orang cina bahannya kimia siang sy mampir distributor es krim merk aic yg marak penetrasi bisnisnya yg terletak selatan tugu lilin makam haji spanduk bertulisan china iseng sy penjaga counter yg didepan pinggir jln bo nya orang mba jakarta solo orang china lho tau org china sdh ketemu tri nunjuk disebuah mobil avanza putih bosnya dlm mobil ngomongnya aja pake bh china asli china penasaran sy tunggu si bo mobil chino
1,video anak muslim disiksa budha myanmar video anak muslim disiksa budha myanmar
1,foto kerusuhan demo anti trump amerika serikat foto kerusuhan demo anti trump amerika serikat
1,bentrok orma gerakan jaga indonesia fpi lpi hti kota bandung juli aksi demo tujuan gedung dpr mpr lakukan orang simpatisan pdi p komandoi boedi djarot dkk menginjak injak merobek membakar poster habib rizieq syihab berbuntut kota bandung bentrok orma gerakan jaga indonesia gji pdi p orma orma islam fpi hti lpi pembela penjaga pancasila nkri ulama akibatnya orang anggota ormasa gerakan jaga indonesia pdi p mati kena sabetan pedang lasykar fpi hti orang mengalami luka sabetan bahu bentrokan melua kebakaran pertokoan berdekatan marka pdi p lemparan bom molotov aparat polisi berani tkp
1,video kecelakaan maut air terjun uluk til belu ntt kecelakaan maut air terjun uluk til belu ntt
1,aliran komuni gerakan pki bangkit pdip prijanto istilah petuga partai ketua pdip megawati soekarnoputri jokowi dinilai modu komunism istilah petuga partai pekerja partai tokoh pki dn aidit
1,gubernur jakarta ani baswedan penghargaan terbaik dunia penanganan covid gubernur jakarta ani baswedan penghargaan terbaik dunia penanganan covid
1,masyarakat new zealand belajar wudhu kabar terbaru new zealand subhanallah masyarakat new zealand pd belajar wudhu kumpul lapangan belajar mendalami islam allah allahu akbar sungguh allah maha pembolak hati manusia
1,polisi india indonesia kabar terkini polisi india indonesia menertibkan masyarakat yg tdk tinggal rumah siapkan pantat minyak gosok
1,pasukan tentara membantu melawan viru corona new york militari vehicl arriv in manhattan new york wuhan coronaviru
1,video keluyuran diluar rumah malaysia ditembak api pakai drone keluyuran diluar rumah malaysia ditembak api pakai drone
1,antisipasi corona bumn dki ditutup antisipasi corona bumn dki ditutup
1,jokowi halal dilengserkan manusia yg gk nilai dn kuwalita gk mnjdi apapun negeri
1,sandiwara dagelan koplax perskusi viralkan laporkan maaf memaafkan sandiwara dagelan koplax perskusi viralkan laporkan maaf memaafkan sakit jiwa kali ya
1,beredar surat rekrutmen satpol pp kepala satpol pp damkar sintang angkat bicara kepala satpol pp damkar martin nandung gak sumber penanggungjawab ndak cap tanda tangan
1,ketua kpu imbau masyarakat hormati hasil pemilu kecurangan ketua kpu imbau masyarakat hormati hasil pemilu kecurangan
1,universita brawijaya umm bantah liburkan perkuliahan aksi mahasiswa hoak mbak kegiatan belajar normal kegiatan kampu normal
1,luthfi abdul hadi maaf kiai said aqil siroj gu ipul wakil gubernur jatim turun tangan menyelesaikan fitnah yg tuduhkan ketum pbnu prof dr kh said aqil siroj semoga tukang fitnah kejang
1,asosiasi guru bahasa sastra indonesia kecam ani baswedan asosiasi guru bahasa sastra indonesia kecam ani baswedan lihai tata bodohi warga jakarta
1,khoirul anwar penemu g lte khoirul anwar dianggap gila ditertawakan dicemooh idenya dianggap muskil masuk akal ilmuwan berkumpul hokkaido jepang menganggap pemikiran dipresentasikan berguna
1,syukuran jokowi p syukuran jokowi p tnp kamera bawa bekal kompak salam jokowi
1,video polisi tembak saksi rekap pleno kpu polisi menembak saksi trima rekap pleno kpu
0,penjelasan kpu gowa terkait baliho surat suara mencantumkan foto capr cawapr prabowo sandi pemasangan baliho contoh surat suara pilpr kpu kec bontonompo kab gowa foto capr cawapr kpu gowa mencederai demokrasi
1,masukan persatuan tunanetra indonesia terkait brail surat suara jakarta salah info pertuni masukan aja pertuni persatuan tunanetra indonesia yg jkt ngecek surat suara yg brail kpu salah
0,kementan bantah siluet wajah dibungku plastik bertuliskan bera segar toko tani indonesia presiden jokowi gambar foto tertera kemasan bera toko tani indonesia foto presiden ri jokowi foto model staf kementan biro pengadaan kementan ma agu faizal kepala biro huma informasi publik kementan kuntoro boga andri selasa
0,dink aceh membantah isu pelajar lumpuh vaksin mr berhubungan imunisasi penyakit efek vaksin mr
1,hasil scan port bolong kpu server bawa itb moratel gimana pemilu
1,rekrutmen pt pindad sehubungan rekrutmen calon karyawan pt pindad wilayah kerja meliputi region sulawesi
0,maradona bantah kabar meningg laga argentina vs nigeria piala dunia maradona bantah kabar meningg laga argentina vs nigeria piala dunia
1,mark zuckerberg ceo facebook menemukan bff test fb tmn mark zuckerberg ceo facebook menemukan bff akun aman facebook ketik bff komentar hijau akun dilindungi muncul warna hijau ubah sandi direta copi
0,penjelasan terkait berita muslim cyber armi sesuai standar berdasarkan peninjauan intern redaksi ditemukan fakta editor terburu buru mengunggah artikel mengabaikan standar ditentukan terkait cover bothsid selektif mencari narasumb menjadikan akun anonim rujukan utama
0,teror kiai ponp kediri hoax cerita teror kiai ponp kediri hoax cerita
0,penganiayaan ulama bogor utk kesekian kalinya penganiayaan thdp ulama jabar hr ulama bogor ust sulaiman dibacok orang gila bogor umat islam rapatkan barisan alway waspada waspada saveulama hasbunallahwanimalwakiiil
0,bahaya makan rambutan minum teh mani sebabkan penyumbatan saluran pernapasan bahaya makan rambutan minum teh mani sebabkan penyumbatan saluran pernapasan
1,jalan slamet riyadi kota solo tergenang banjir wali kota solo fx hadi rudyatmo geram informasi hoax terkait banjir jalan slamet riyadi solo
1,mahalnya biaya sekolah pelayaran sekolah pelayaran udah bayarnya mahal dididik milit sakit hati sakit badan
1,video peserta aksi merusak toko sisa video pendemo menjarah warung jakarta novemb semalam share biar kelakuannya
1,saham taxi express dimiliki sandiaga uno kepemilikan saham taxi express pengusaha cagub sandiaga uno
1,mesin mobil mati rel kereta api mesin mobil mati perlintasan rel kereta api org awam terkadang sbbkan krn perlintasan tsb angker sajen kemenyan demit dll
0,indonesia gagal wujudkan swasembada pangan pemerintah rencana impor bera juta ton indonesia gagal swasembada
1,media menyiarkan demo ruu hip kah percaya tv satupunmedia tv menyiarkan demo tolak uu hip orang desa jangkauan percaya tv tv boke rezim berkuasa ayo rakyat bukakan mata pikiran isu covid pengalihan bentuk pembodohan sdm
1,pembakar bendera pdi p anggota simpatisan pdi p bawa bakar lapor pki tukang nyusup licik pengalihan tolak ruu hip pki kpd umat kristiani jgn terhasut pki yg suka fitnah adu domba mendukung membela pki dosa pki tdk percaya yesu kristu agama pki antek nya pendukung tempatnya kerak neraka
1,minggu juni baim rili hadiah orang pemenang minggu juni orang pemenang rili hadiah
1,panggilan seleksi rekrutmen pertamina tanggal juni surat bernomor hrd pt pertamina persero vi perih panggilan seleksi rekrutmen karyawan i surat lokasi seleksi rekrutmen gedung perwira lantai jl medan merdeka timur a jakarta pusat
1,ucapan bela sungkawa presiden dr team medi yg berguguran dimedan covid ucapan bela sungkawa presiden dr team medi yg berguguran dimedan covid
1,video gereja azankan corona ga aktif dengarkan azan gereja azankan mrk krn berdasarkan riset corona ga aktif dengarkan azan alquran mashaallah
1,video in america there ha been loot everywher for fear of the corona viru in america there ha been loot everywher for fear of the corona viru
1,pelintiran kontek foto apd hasil ekspor korea bertulisan made indonesia buatan indonesia pabriknya korsel salesnya tiongkok pembelinya indonesia mumet endasku foto du tulisan merek apd tulisan korea dibawahnya tulisan berbahasa inggri du warna apd nomor seri menarik tulisan made in indonesia
0,updat statu terkait penutupan destinasi wisata diy komunikasikan kementerian bumn sesuai ajakan presiden jokowi twc berlakukan penutupan pengunjung
1,pasien viru corona dr badau otw dirujuk rumah sakit rujukan sintang selamat sore kwn barusan dpt info dr kwn yg kerja rs sintang pasien viru corona dr badau sdg otw dirujuk rumah sakit rujukan sintang utk waspada klu berkunjung rs anang klupa pakai masker
1,cikarang siaga viru corona orang meningg meikarta ikarang siaga viru corona kabar daerah lippo yg terserang viiru corona orang meningg dunia nyelidiki tkp himbauan warga cikarang wajib memakai masker terkena viru corona pusat viru corona perusahaan meikarta pemerintah blm menindak tdi pagi aksi habib sebekasi pemerintah membasmi viru corona bekasi
1,video mata jule akibat main game ular yg lgi trend skrang hati gaeeee akibat main game ular yg lgi trend skrang hati gaeeee
1,judul artikel dilaporkan pdip sukmawati ditahan orang kuat artikel tamparan news dot blogspot dot com menampilkan artikel judul dilaporkan pdip sukmawati ditahan orang kuat artikel dituli merdekaind
1,maskapai penebangan turki melarikan tabrakan direncanakan terori tanker bahan bakar maskapai penebangan turki melarikan tabrakan direncanakan terori tanker bahan bakar keahlian pilot keputusan diambilnya sepersekian detik menyelamatkan penumpang mukjizat terori khilafah out nkri
1,royalti ribu rupiah wa berikhla hati utk menghilangkan penderitaan anak mohon video diteruskan kpd anak royalti ribu rupiah wa yg kurim terimakasih semoga pahala aamiin yra
1,artikel liputan com rhoma irama salah bilang sentuh mira setet nyabu salah bilang sentuh mira setet nyabu
1,menpora imam nahrawi mundur jabatannya info sebelah
0,klarifikasi kpu terkait pernyataan ustaz haikal hassan juta pemilih gila mohon maaf haikal hassan pemilih gila hoax yg sesuai putusan mk pemilih dg gangguan jiwa ingatan gila salah jenisnya lagipula angkanya hoax juta didiskon juta yg
0,kotak suara dprd jambi dibakar otk berita pagi tv one berhubung unggul jambi kardu kpu dibakar oknum menghilangkan bukti c pahamkan kotak suara kardu
1,metro tv memberitakan penyerang senat australia pengagum jokowi klaim sm metro tv neh kenal kagak ngomong pengagum urat malu nya dah putu besok ganti candi borobudur menara eiffel air terjun niagara klaim si jae bangun
1,sbi suruh coblo nomor jokowi amin sbi gitu sih suruh coblo nomor jokowi amin kasihan punah orangbaikpilihjokowi jokowilagi indonesiamaju
1,foto gajah menolong anak singa belalainya seekor singa melintasi sabana anak nya krn pana terik anaknya tdk berjalan
1,white koffi berbahaya kandungannya mudah terbakar kopi kesukaan ku ni stok kopi ku beli takut minumnya
1,a zambian student in china wa beaten to death a zambian student in china ha been kill by chines nation for date a chines woman
1,surat panggilan wawancara calon pegawai bank indonesia beredar media sosial surat edaran mengatasnamakan bank indonesia bi berisi panggilan wawancara calon pegawai bi hoak
